Year,Tier,Country,Region
2010,Tier 2,Honduras,North America
2010,Tier 2,Hong Kong,Asia
2010,Tier 2,Hungary,Europe
2010,Tier 2,Iceland,Europe
2010,Tier 2,Indonesia,Asia
2010,Tier 2,Israel,Asia
2010,Tier 2,Jamaica,North America
2010,Tier 2,Japan,Asia
2010,Tier 2,Jordan,Asia
2010,Tier 2,Kenya,Africa
2010,Tier 2,Kosovo,Europe
2010,Tier 2,Kyrgyzstan,Asia
2010,Tier 2,Latvia,Europe
2010,Tier 2,Liberia,Africa
2010,Tier 2,Macau,Asia
2010,Tier 2,Macedonia,Europe
2010,Tier 2,Malawi,Africa
2010,Tier 2,Mexico,North America
2010,Tier 2,Mongolia,Asia
2010,Tier 2,Montenegro,Europe
2010,Tier 2,Morocco,Africa
2010,Tier 2,Namibia,Africa
2010,Tier 2,Nepal,Asia
2010,Tier 2,Netherlands Antilles,North America
2010,Tier 2,Oman,Asia
2010,Tier 2,Pakistan,Asia
2010,Tier 2,Palau,Oceania
2010,Tier 2,Paraguay,South America
2010,Tier 2,Peru,South America
2010,Tier 2,Portugal,Europe
2010,Tier 2,Romania,Europe
2010,Tier 2,Rwanda,Africa
2010,Tier 2,Serbia,Europe
2010,Tier 2,Sierra Leone,Africa
2010,Tier 2,Slovakia,Europe
2010,Tier 2,South Africa,Africa
2010,Tier 2,Suriname,South America
2010,Tier 2,Switzerland,Europe
2010,Tier 2,The Bahamas,North America
2010,Tier 2,The Gambia,Africa
2010,Tier 2,Timor-Leste,Asia
2010,Tier 2,Togo,Africa
2010,Tier 2,Turkey,Asia
2010,Tier 2,Uganda,Africa
2010,Tier 2,Ukraine,Europe
2010,Tier 2,United Arab Emirates,Asia
2010,Tier 2,Uruguay,South America
2010,Tier 2,Zambia,Africa
2010,Tier 2 Watch List,Afghanistan,Asia
2010,Tier 2 Watch List,Algeria,Africa
2010,Tier 2 Watch List,Azerbaijan,Asia
2010,Tier 2 Watch List,Bangladesh,Asia
2010,Tier 2 Watch List,Barbados,North America
2010,Tier 2 Watch List,Belize,North America
2010,Tier 2 Watch List,Brunei,Asia
2010,Tier 2 Watch List,Cameroon,Africa
2010,Tier 2 Watch List,Central African Republic,Africa
2010,Tier 2 Watch List,Chad,Africa
2010,Tier 2 Watch List,China,Asia
2010,Tier 2 Watch List,"Congo, Republic of",Africa
2010,Tier 2 Watch List,Cote d'Ivoire,Africa
2010,Tier 2 Watch List,Equatorial Guinea,Africa
2010,Tier 2 Watch List,Fiji,Oceania
2010,Tier 2 Watch List,Gabon,Africa
2010,Tier 2 Watch List,Guatemala,North America
2010,Tier 2 Watch List,Guinea,Africa
2010,Tier 2 Watch List,Guinea-Bissau,Africa
2010,Tier 2 Watch List,Guyana,South America
2010,Tier 2 Watch List,India,Asia
2010,Tier 2 Watch List,Iraq,Asia
2010,Tier 2 Watch List,Kazakhstan,Asia
2010,Tier 2 Watch List,Laos,Asia
2010,Tier 2 Watch List,Lebanon,Asia
2010,Tier 2 Watch List,Lesotho,Africa
2010,Tier 2 Watch List,Libya,Africa
2010,Tier 2 Watch List,Madagascar,Africa
2010,Tier 2 Watch List,Malaysia,Asia
2010,Tier 2 Watch List,Maldives,Asia
2010,Tier 2 Watch List,Mali,Africa
2010,Tier 2 Watch List,Malta,Europe
2010,Tier 2 Watch List,Micronesia,Oceania
2010,Tier 2 Watch List,Moldova,Europe
2010,Tier 2 Watch List,Mozambique,Africa
2010,Tier 2 Watch List,Nicaragua,North America
2010,Tier 2 Watch List,Niger,Africa
2010,Tier 2 Watch List,Panama,North America
2010,Tier 2 Watch List,Philippines,Asia
2010,Tier 2 Watch List,Qatar,Asia
2010,Tier 2 Watch List,Russia,Europe
2010,Tier 2 Watch List,Senegal,Africa
2010,Tier 2 Watch List,Singapore,Asia
2010,Tier 2 Watch List,Sri Lanka,Asia
2010,Tier 2 Watch List,St. Vincent & The Grenadines,North America
2010,Tier 2 Watch List,Swaziland,Africa
2010,Tier 2 Watch List,Syria,Asia
2010,Tier 2 Watch List,Tajikistan,Asia
2010,Tier 2 Watch List,Tanzania,Africa
2010,Tier 2 Watch List,Thailand,Asia
2010,Tier 2 Watch List,Trinidad & Tobago,North America
2010,Tier 2 Watch List,Tunisia,Africa
2010,Tier 2 Watch List,Turkmenistan,Asia
2010,Tier 2 Watch List,Uzbekistan,Asia
2010,Tier 2 Watch List,Venezuela,South America
2010,Tier 2 Watch List,Vietnam,Asia
2010,Tier 2 Watch List,Yemen,Asia
2010,Tier 3,Burma,Asia
2010,Tier 3,"Congo, Democratic Rep. of",Africa
2010,Tier 3,Cuba,North America
2010,Tier 3,Dominican Republic,North America
2010,Tier 3,Eritrea,Africa
2010,Tier 3,Iran,Asia
2010,Tier 3,Kuwait,Asia
2010,Tier 3,Mauritania,Africa
2010,Tier 3,North Korea,Asia
2010,Tier 3,Papua New Guinea,Oceania
2010,Tier 3,Saudi Arabia,Asia
2010,Tier 3,Sudan,Africa
2010,Tier 3,Zimbabwe,Africa
2011,Special Case,Cote d'Ivoire,Africa
2011,Special Case,Haiti,North America
2011,Special Case,Somalia,Africa
2011,Tier 1,Australia,Oceania
2011,Tier 1,Austria,Europe
2011,Tier 1,Belgium,Europe
2011,Tier 1,Bosnia & Herzegovina,Europe
2011,Tier 1,Canada,North America
2011,Tier 1,Colombia,South America
2011,Tier 1,Croatia,Europe
2011,Tier 1,Denmark,Europe
2011,Tier 1,Finland,Europe
2011,Tier 1,France,Europe
2011,Tier 1,Georgia,Asia
2011,Tier 1,Germany,Europe
2011,Tier 1,Ireland,Europe
2011,Tier 1,Italy,Europe
2011,Tier 1,Lithuania,Europe
2011,Tier 1,Luxembourg,Europe
2011,Tier 1,Macedonia,Europe
2011,Tier 1,Mauritius,Africa
2011,Tier 1,Netherlands,Europe
2011,Tier 1,New Zealand,Oceania
2011,Tier 1,Nigeria,Africa
2011,Tier 1,Norway,Europe
2011,Tier 1,Poland,Europe
2011,Tier 1,Portugal,Europe
2011,Tier 1,Slovakia,Europe
2011,Tier 1,Slovenia,Europe
2011,Tier 1,South Korea,Asia
2011,Tier 1,Spain,Europe
2011,Tier 1,Sweden,Europe
2011,Tier 1,Taiwan,Asia
2011,Tier 1,United Kingdom,Europe
2011,Tier 1,United States of America,North America
2011,Tier 2,Albania,Europe
2011,Tier 2,Antigua & Barbuda,North America
2011,Tier 2,Argentina,South America
2011,Tier 2,Armenia,Asia
2011,Tier 2,Aruba,North America
2011,Tier 2,Bahrain,Asia
2011,Tier 2,Belize,North America
2011,Tier 2,Benin,Africa
2011,Tier 2,Bolivia,South America
2011,Tier 2,Botswana,Africa
2011,Tier 2,Brazil,South America
2011,Tier 2,Bulgaria,Europe
2011,Tier 2,Burkina Faso,Africa
2011,Tier 2,Cambodia,Asia
2011,Tier 2,Chile,South America
2011,Tier 2,Czech Republic,Europe
2011,Tier 2,Djibouti,Africa
2011,Tier 2,Egypt,Africa
2011,Tier 2,El Salvador,North America
2011,Tier 2,Ethiopia,Africa
2011,Tier 2,Fiji,Oceania
2011,Tier 2,Gabon,Africa
2011,Tier 2,Ghana,Africa
2011,Tier 2,Greece,Europe
2011,Tier 2,Guatemala,North America
2011,Tier 2,Guyana,South America
2011,Tier 2,Honduras,North America
2011,Tier 2,Hong Kong,Asia
2011,Tier 2,Hungary,Europe
2011,Tier 2,Iceland,Europe
2011,Tier 2,India,Asia
2011,Tier 2,Indonesia,Asia
2011,Tier 2,Israel,Asia
2011,Tier 2,Jamaica,North America
2011,Tier 2,Japan,Asia
2011,Tier 2,Jordan,Asia
2011,Tier 2,Kazakhstan,Asia
2011,Tier 2,Kenya,Africa
2011,Tier 2,Kosovo,Europe
2011,Tier 2,Kyrgyzstan,Asia
2011,Tier 2,Laos,Asia
2011,Tier 2,Latvia,Europe
2011,Tier 2,Lesotho,Africa
2011,Tier 2,Macau,Asia
2011,Tier 2,Malawi,Africa
2011,Tier 2,Marshall Islands,Oceania
2011,Tier 2,Mexico,North America
2011,Tier 2,Moldova,Europe
2011,Tier 2,Mongolia,Asia
2011,Tier 2,Montenegro,Europe
2011,Tier 2,Morocco,Africa
2011,Tier 2,Mozambique,Africa
2011,Tier 2,Namibia,Africa
2011,Tier 2,Nepal,Asia
2011,Tier 2,Nicaragua,North America
2011,Tier 2,Oman,Asia
2011,Tier 2,Pakistan,Asia
2011,Tier 2,Palau,Oceania
2011,Tier 2,Paraguay,South America
2011,Tier 2,Peru,South America
2011,Tier 2,Philippines,Asia
2011,Tier 2,Romania,Europe
2011,Tier 2,Rwanda,Africa
2011,Tier 2,Senegal,Africa
2011,Tier 2,Serbia,Europe
2011,Tier 2,Seychelles,Africa
2011,Tier 2,Sierra Leone,Africa
2011,Tier 2,Singapore,Asia
2011,Tier 2,South Africa,Africa
2011,Tier 2,Sri Lanka,Asia
2011,Tier 2,St. Lucia,North America
2011,Tier 2,Suriname,South America
2011,Tier 2,Swaziland,Africa
2011,Tier 2,Switzerland,Europe
2011,Tier 2,Tajikistan,Asia
2011,Tier 2,Timor-Leste,Asia
2011,Tier 2,Togo,Africa
2011,Tier 2,Tonga,Oceania
2011,Tier 2,Trinidad & Tobago,North America
2011,Tier 2,Turkey,Asia
2011,Tier 2,Uganda,Africa
2011,Tier 2,Ukraine,Europe
2011,Tier 2,United Arab Emirates,Asia
2011,Tier 2,Uruguay,South America
2011,Tier 2,Zambia,Africa
2011,Tier 2 Watch List,Afghanistan,Asia
2011,Tier 2 Watch List,Angola,Africa
2011,Tier 2 Watch List,Azerbaijan,Asia
2011,Tier 2 Watch List,Bangladesh,Asia
2011,Tier 2 Watch List,Barbados,North America
2011,Tier 2 Watch List,Belarus,Europe
2011,Tier 2 Watch List,Brunei,Asia
2011,Tier 2 Watch List,Burundi,Africa
2011,Tier 2 Watch List,Cameroon,Africa
2011,Tier 2 Watch List,Chad,Africa
2011,Tier 2 Watch List,China,Asia
2011,Tier 2 Watch List,Comoros,Africa
2011,Tier 2 Watch List,"Congo, Republic of",Africa
2011,Tier 2 Watch List,Costa Rica,North America
2011,Tier 2 Watch List,Curacao,North America
2011,Tier 2 Watch List,Cyprus,Asia
2011,Tier 2 Watch List,Dominican Republic,North America
2011,Tier 2 Watch List,Ecuador,South America
2011,Tier 2 Watch List,Estonia,Europe
2011,Tier 2 Watch List,Guinea,Africa
2011,Tier 2 Watch List,Iraq,Asia
2011,Tier 2 Watch List,Kiribati,Oceania
2011,Tier 2 Watch List,Liberia,Africa
2011,Tier 2 Watch List,Malaysia,Asia
2011,Tier 2 Watch List,Maldives,Asia
2011,Tier 2 Watch List,Mali,Africa
2011,Tier 2 Watch List,Malta,Europe
2011,Tier 2 Watch List,Niger,Africa
2011,Tier 2 Watch List,Panama,North America
2011,Tier 2 Watch List,Qatar,Asia
2011,Tier 2 Watch List,Russia,Europe
2011,Tier 2 Watch List,Solomon Islands,Oceania
2011,Tier 2 Watch List,St. Vincent & The Grenadines,North America
2011,Tier 2 Watch List,Syria,Asia
2011,Tier 2 Watch List,Tanzania,Africa
2011,Tier 2 Watch List,Thailand,Asia
2011,Tier 2 Watch List,The Bahamas,North America
2011,Tier 2 Watch List,The Gambia,Africa
2011,Tier 2 Watch List,Tunisia,Africa
2011,Tier 2 Watch List,Uzbekistan,Asia
2011,Tier 2 Watch List,Vietnam,Asia
2011,Tier 3,Algeria,Africa
2011,Tier 3,Burma,Asia
2011,Tier 3,Central African Republic,Africa
2011,Tier 3,"Congo, Democratic Rep. of",Africa
2011,Tier 3,Cuba,North America
2011,Tier 3,Equatorial Guinea,Africa
2011,Tier 3,Eritrea,Africa
2011,Tier 3,Guinea-Bissau,Africa
2011,Tier 3,Iran,Asia
2011,Tier 3,Kuwait,Asia
2011,Tier 3,Lebanon,Asia
2011,Tier 3,Libya,Africa
2011,Tier 3,Madagascar,Africa
2011,Tier 3,Mauritania,Africa
2011,Tier 3,Micronesia,Oceania
2011,Tier 3,North Korea,Asia
2011,Tier 3,Papua New Guinea,Oceania
2011,Tier 3,Saudi Arabia,Asia
2011,Tier 3,Sudan,Africa
2011,Tier 3,Turkmenistan,Asia
2011,Tier 3,Venezuela,South America
2011,Tier 3,Yemen,Asia
2011,Tier 3,Zimbabwe,Africa
2012,Special Case,Somalia,Africa
2012,Tier 1,Australia,Oceania
2012,Tier 1,Austria,Europe
2012,Tier 1,Belgium,Europe
2012,Tier 1,Canada,North America
2012,Tier 1,Colombia,South America
2012,Tier 1,Croatia,Europe
2012,Tier 1,Czech Republic,Europe
2012,Tier 1,Denmark,Europe
2012,Tier 1,Finland,Europe
2012,Tier 1,France,Europe
2012,Tier 1,Georgia,Asia
2012,Tier 1,Germany,Europe
2012,Tier 1,Iceland,Europe
2012,Tier 1,Ireland,Europe
2012,Tier 1,Israel,Asia
2012,Tier 1,Italy,Europe
2012,Tier 1,Lithuania,Europe
2012,Tier 1,Luxembourg,Europe
2012,Tier 1,Macedonia,Europe
2012,Tier 1,Mauritius,Africa
2012,Tier 1,Netherlands,Europe
2012,Tier 1,New Zealand,Oceania
2012,Tier 1,Nicaragua,North America
2012,Tier 1,Norway,Europe
2012,Tier 1,Poland,Europe
2012,Tier 1,Slovakia,Europe
2012,Tier 1,Slovenia,Europe
2012,Tier 1,South Korea,Asia
2012,Tier 1,Spain,Europe
2012,Tier 1,Sweden,Europe
2012,Tier 1,Taiwan,Asia
2012,Tier 1,United Kingdom,Europe
2012,Tier 1,United States of America,North America
2012,Tier 2,Albania,Europe
2012,Tier 2,Antigua & Barbuda,North America
2012,Tier 2,Argentina,South America
2012,Tier 2,Armenia,Asia
2012,Tier 2,Aruba,North America
2012,Tier 2,Bangladesh,Asia
2012,Tier 2,Belize,North America
2012,Tier 2,Benin,Africa
2012,Tier 2,Bolivia,South America
2012,Tier 2,Bosnia & Herzegovina,Europe
2012,Tier 2,Botswana,Africa
2012,Tier 2,Brazil,South America
2012,Tier 2,Brunei,Asia
2012,Tier 2,Bulgaria,Europe
2012,Tier 2,Burkina Faso,Africa
2012,Tier 2,Cabo Verde,Africa
2012,Tier 2,Cambodia,Asia
2012,Tier 2,Cameroon,Africa
2012,Tier 2,Chile,South America
2012,Tier 2,Costa Rica,North America
2012,Tier 2,Cote d'Ivoire,Africa
2012,Tier 2,Curacao,North America
2012,Tier 2,Dominican Republic,North America
2012,Tier 2,Egypt,Africa
2012,Tier 2,El Salvador,North America
2012,Tier 2,Estonia,Europe
2012,Tier 2,Ethiopia,Africa
2012,Tier 2,Fiji,Oceania
2012,Tier 2,Gabon,Africa
2012,Tier 2,Ghana,Africa
2012,Tier 2,Greece,Europe
2012,Tier 2,Guatemala,North America
2012,Tier 2,Guinea,Africa
2012,Tier 2,Guyana,South America
2012,Tier 2,Honduras,North America
2012,Tier 2,Hong Kong,Asia
2012,Tier 2,Hungary,Europe
2012,Tier 2,India,Asia
2012,Tier 2,Indonesia,Asia
2012,Tier 2,Japan,Asia
2012,Tier 2,Jordan,Asia
2012,Tier 2,Kazakhstan,Asia
2012,Tier 2,Kiribati,Oceania
2012,Tier 2,Kosovo,Europe
2012,Tier 2,Kyrgyzstan,Asia
2012,Tier 2,Laos,Asia
2012,Tier 2,Latvia,Europe
2012,Tier 2,Lesotho,Africa
2012,Tier 2,Mali,Africa
2012,Tier 2,Malta,Europe
2012,Tier 2,Marshall Islands,Oceania
2012,Tier 2,Mexico,North America
2012,Tier 2,Moldova,Europe
2012,Tier 2,Mongolia,Asia
2012,Tier 2,Montenegro,Europe
2012,Tier 2,Morocco,Africa
2012,Tier 2,Mozambique,Africa
2012,Tier 2,Nepal,Asia
2012,Tier 2,Nigeria,Africa
2012,Tier 2,Oman,Asia
2012,Tier 2,Pakistan,Asia
2012,Tier 2,Palau,Oceania
2012,Tier 2,Panama,North America
2012,Tier 2,Paraguay,South America
2012,Tier 2,Peru,South America
2012,Tier 2,Philippines,Asia
2012,Tier 2,Portugal,Europe
2012,Tier 2,Qatar,Asia
2012,Tier 2,Romania,Europe
2012,Tier 2,Rwanda,Africa
2012,Tier 2,Serbia,Europe
2012,Tier 2,Singapore,Asia
2012,Tier 2,Solomon Islands,Oceania
2012,Tier 2,South Africa,Africa
2012,Tier 2,Sri Lanka,Asia
2012,Tier 2,St. Lucia,North America
2012,Tier 2,St. Vincent & The Grenadines,North America
2012,Tier 2,Swaziland,Africa
2012,Tier 2,Switzerland,Europe
2012,Tier 2,Tajikistan,Asia
2012,Tier 2,Tanzania,Africa
2012,Tier 2,Timor-Leste,Asia
2012,Tier 2,Togo,Africa
2012,Tier 2,Tonga,Oceania
2012,Tier 2,Trinidad & Tobago,North America
2012,Tier 2,Tunisia,Africa
2012,Tier 2,Turkey,Asia
2012,Tier 2,Uganda,Africa
2012,Tier 2,Ukraine,Europe
2012,Tier 2,United Arab Emirates,Asia
2012,Tier 2,Uruguay,South America
2012,Tier 2,Vietnam,Asia
2012,Tier 2,Zambia,Africa
2012,Tier 2 Watch List,Afghanistan,Asia
2012,Tier 2 Watch List,Angola,Africa
2012,Tier 2 Watch List,Azerbaijan,Asia
2012,Tier 2 Watch List,Bahrain,Asia
2012,Tier 2 Watch List,Barbados,North America
2012,Tier 2 Watch List,Belarus,Europe
2012,Tier 2 Watch List,Burma,Asia
2012,Tier 2 Watch List,Burundi,Africa
2012,Tier 2 Watch List,Chad,Africa
2012,Tier 2 Watch List,China,Asia
2012,Tier 2 Watch List,Comoros,Africa
2012,Tier 2 Watch List,"Congo, Republic of",Africa
2012,Tier 2 Watch List,Cyprus,Asia
2012,Tier 2 Watch List,Djibouti,Africa
2012,Tier 2 Watch List,Ecuador,South America
2012,Tier 2 Watch List,Guinea-Bissau,Africa
2012,Tier 2 Watch List,Haiti,North America
2012,Tier 2 Watch List,Iraq,Asia
2012,Tier 2 Watch List,Jamaica,North America
2012,Tier 2 Watch List,Kenya,Africa
2012,Tier 2 Watch List,Lebanon,Asia
2012,Tier 2 Watch List,Liberia,Africa
2012,Tier 2 Watch List,Macau,Asia
2012,Tier 2 Watch List,Malawi,Africa
2012,Tier 2 Watch List,Malaysia,Asia
2012,Tier 2 Watch List,Maldives,Asia
2012,Tier 2 Watch List,Mauritania,Africa
2012,Tier 2 Watch List,Micronesia,Oceania
2012,Tier 2 Watch List,Namibia,Africa
2012,Tier 2 Watch List,Niger,Africa
2012,Tier 2 Watch List,Russia,Europe
2012,Tier 2 Watch List,Senegal,Africa
2012,Tier 2 Watch List,Seychelles,Africa
2012,Tier 2 Watch List,Sierra Leone,Africa
2012,Tier 2 Watch List,South Sudan,Africa
2012,Tier 2 Watch List,Suriname,South America
2012,Tier 2 Watch List,Thailand,Asia
2012,Tier 2 Watch List,The Bahamas,North America
2012,Tier 2 Watch List,The Gambia,Africa
2012,Tier 2 Watch List,Turkmenistan,Asia
2012,Tier 2 Watch List,Uzbekistan,Asia
2012,Tier 2 Watch List,Venezuela,South America
2012,Tier 3,Algeria,Africa
2012,Tier 3,Central African Republic,Africa
2012,Tier 3,"Congo, Democratic Rep. of",Africa
2012,Tier 3,Cuba,North America
2012,Tier 3,Equatorial Guinea,Africa
2012,Tier 3,Eritrea,Africa
2012,Tier 3,Iran,Asia
2012,Tier 3,Kuwait,Asia
2012,Tier 3,Libya,Africa
2012,Tier 3,Madagascar,Africa
2012,Tier 3,North Korea,Asia
2012,Tier 3,Papua New Guinea,Oceania
2012,Tier 3,Saudi Arabia,Asia
2012,Tier 3,Sudan,Africa
2012,Tier 3,Syria,Asia
2012,Tier 3,Yemen,Asia
2012,Tier 3,Zimbabwe,Africa
2013,Special Case,Somalia,Africa
2013,Tier 1,Armenia,Asia
2013,Tier 1,Australia,Oceania
2013,Tier 1,Austria,Europe
2013,Tier 1,Belgium,Europe
2013,Tier 1,Canada,North America
2013,Tier 1,Colombia,South America
2013,Tier 1,Czech Republic,Europe
2013,Tier 1,Denmark,Europe
2013,Tier 1,Finland,Europe
2013,Tier 1,France,Europe
2013,Tier 1,Germany,Europe
2013,Tier 1,Iceland,Europe
2013,Tier 1,Ireland,Europe
2013,Tier 1,Israel,Asia
2013,Tier 1,Italy,Europe
2013,Tier 1,Luxembourg,Europe
2013,Tier 1,Macedonia,Europe
2013,Tier 1,Netherlands,Europe
2013,Tier 1,New Zealand,Oceania
2013,Tier 1,Nicaragua,North America
2013,Tier 1,Norway,Europe
2013,Tier 1,Poland,Europe
2013,Tier 1,Slovakia,Europe
2013,Tier 1,Slovenia,Europe
2013,Tier 1,South Korea,Asia
2013,Tier 1,Spain,Europe
2013,Tier 1,Sweden,Europe
2013,Tier 1,Taiwan,Asia
2013,Tier 1,United Kingdom,Europe
2013,Tier 1,United States of America,North America
2013,Tier 2,Antigua & Barbuda,North America
2013,Tier 2,Argentina,South America
2013,Tier 2,Aruba,North America
2013,Tier 2,Azerbaijan,Asia
2013,Tier 2,Bangladesh,Asia
